Code,Province,Pop2016,GDP (2020),2020 EV Registration,2019 Total Registrated Cars,Country
AB,Alberta,4067175,307522000000,0,3151829,CA
BC,British Columbia,4648055,246927400000,8133,3113125,CA
MB,Manitoba,1278365,60545400000,141,808918,CA
NB,New Brunswick,747101,30051500000,53,553244,CA
NFL,Newfoundland,519716,30137800000,0,350761,CA
NWT,Northwest Territory,41786,4035800000,0,23242,CA
NS,Nova Scotia,923598,36950100000,0,600756,CA
NU,Nunavut,35944,3163600000,0,4927,CA
ON,Ontario,13448494,713444000000,4693,8514952,CA
PE,Prince Edward Island,142907,5882600000,15,101594,CA
QC,Quebec,8164361,357742300000,11714,5399507,CA
SK,Saskatchewan,1098352,77272800000,71,813605,CA
YT,Yukon,35874,2686900000,0,35651,CA
AL,Alabama,4934193,196906100000,2890,"2,109,108",US
AK,Alaska,724357,50161000000,940,"178,516",US
AZ,Arizona,7520103,320550600000,28770,"2,405,959",US
AR,Arkansas,3033946,114943500000,1330,"886,647",US
CA,California,39613493,2663665900000,425300,"14,894,912",US
CO,Colorado,5893634,346011300000,24670,"1,741,218",US
CT,Connecticut,3552821,235888600000,9040,"1,260,954",US
DE,Delaware,990334,62056200000,1950,"423,462",US
DC,District of Columbia,714153,122342100000,2360,"203,771",US
FL,Florida,21944577,944000800000,58160,"7,841,189",US
GA,Georgia,10830007,536693000000,23530,"3,499,520",US
HI,Hawaii,1406430,2394639200000,10670,"498,992",US
ID,Idaho,1860123,73655400000,2300,"602,170",US
IL,Illinois,12569321,737643600000,26000,"4,322,850",US
IN,Indiana,6805663,329863300000,6990,"2,185,979",US
IA,Iowa,3167974,169420300000,2260,"1,221,843",US
KS,Kansas,2917224,156770100000,3130,"947,148",US
KY,Kentucky,4480713,185535100000,2650,"1,669,167",US
LA,Louisiana,4627002,222296800000,1950,"1,349,720",US
ME,Maine,1354522,58757300000,1920,"373,868",US
MD,Maryland,6065436,353052500000,17970,"1,868,994",US
MA,Massachusetts,6912239,498577000000,21010,"2,088,674",US
MI,Michigan,9992427,445682600000,10620,"2,831,499",US
MN,Minnesota,5706398,326635600000,10380,"1,836,831",US
MS,Mississippi,2966407,99667500000,780,"806,061",US
MO,Missouri,6169038,282654200000,6740,"2,052,788",US
MT,Montana,1085004,46158100000,940,"439,118",US
NE,Nebraska,1951996,117664900000,1810,"661,864",US
NV,Nevada,3185786,145219100000,11040,"1,060,188",US
NH,New Hampshire,1372203,75543100000,2690,"489,224",US
NJ,New Jersey,8874520,535794900000,30420,"2,639,261",US
NM,New Mexico,2105005,92696500000,2620,"641,838",US
NY,New York,19299981,1420141000000,32590,"4,444,391",US
NC,North Carolina,10701022,499517500000,16190,"3,434,565",US
ND,North Dakota,770026,54581100000,220,"228,881",US
OH,Ohio,11714618,589897700000,14530,"4,423,248",US
OK,Oklahoma,3990443,190893800000,3410,"1,255,134",US
OR,Oregon,4289439,212849700000,22850,"1,424,799",US
PA,Pennsylvania,12804123,683773900000,17530,"4,267,811",US
PR,Puerto Rico,3194374,1154563600000,0,0,US
RI,Rhode Island,1061509,51415100000,1580,"396,508",US
SC,South Carolina,5277830,208480500000,4390,"1,801,243",US
SD,South Dakota,896581,46682700000,410,"342,868",US
TN,Tennessee,6944260,316325300000,7810,"2,185,229",US
TX,Texas,29730311,1734321100000,52190,"8,313,623",US
UT,Utah,3310774,171370100000,11230,"921,645",US
VT,Vermont,623251,28648500000,2230,"206,621",US
VA,Virginia,8603985,473817500000,20510,"3,187,026",US
WA,Washington,7796941,532861900000,50520,"2,943,914",US
WV,West Virginia,1767859,69711600000,600,"536,646",US
WI,Wisconsin,5852490,291715800000,6310,"2,004,002",US
WY,Wyoming,581075,36256700000,330,"196,219",US